player_ID,sport,position,start_year,start_age,years_played
Alaa Abdelnaby,NBA,0,1991,23,5
Zaid Abdul-Aziz,NBA,0,1969,23,10
Kareem Abdul-Jabbar,NBA,1,1970,23,20
Mahmoud Abdul-Rauf,NBA,2,1991,22,11
Tariq Abdul-Wahad,NBA,3,1998,24,6
Shareef Abdur-Rahim,NBA,3,1997,21,12
Tom Abernethy,NBA,3,1977,23,5
Forest Able,NBA,2,1957,25,1
John Abramovic,NBA,3,1947,28,2
Alex Abrines,NBA,0,2017,24,2
Alex Acker,NBA,2,2006,23,4
Don Ackerman,NBA,2,1954,24,1
Mark Acres,NBA,0,1988,26,6
Bud Acton,NBA,3,1968,26,1
Quincy Acy,NBA,3,2013,23,6
Alvan Adams,NBA,0,1976,22,13
Don Adams,NBA,3,1971,24,7
George Adams,NBA,0,1973,24,3
Hassan Adams,NBA,2,2007,23,3
Jordan Adams,NBA,2,2015,21,2
Michael Adams,NBA,2,1986,23,11
Steven Adams,NBA,1,2014,21,5
Rafael Addison,NBA,0,1987,23,11
Bam Adebayo,NBA,0,2018,21,1
Rick Adelman,NBA,2,1969,23,7
Jeff Adrien,NBA,3,2011,25,5
Arron Afflalo,NBA,2,2008,23,11
Maurice Ager,NBA,2,2007,23,5
Mark Aguirre,NBA,0,1982,23,13
Blake Ahearn,NBA,2,2008,24,5
Danny Ainge,NBA,2,1982,23,14
Matthew Aitch,NBA,3,1968,24,1
Alexis Ajinca,NBA,1,2009,21,9
Henry Akin,NBA,0,1967,23,3
Josh Akognon,NBA,2,2013,27,1
Solomon Alabi,NBA,1,2011,23,2
Mark Alarie,NBA,3,1987,24,5
Gary Alcorn,NBA,1,1960,24,2
Furkan Aldemir,NBA,0,2015,24,1
Cole Aldrich,NBA,1,2011,23,8
LaMarcus Aldridge,NBA,0,2007,22,12
Chuck Aleksinas,NBA,1,1985,26,1
Cliff Alexander,NBA,3,2016,21,1
Cory Alexander,NBA,2,1996,23,10
Courtney Alexander,NBA,2,2001,24,3
Gary Alexander,NBA,3,1994,25,1
Joe Alexander,NBA,3,2009,23,2
Victor Alexander,NBA,0,1992,23,11
Steve Alford,NBA,2,1988,24,4
Jarrett Allen,NBA,0,2018,45,1
Kadeem Allen,NBA,2,2018,29,1
Malik Allen,NBA,0,2002,37,10
Ray Allen,NBA,2,1997,15,18
Willie Allen,NBA,3,1972,23,1
Lance Allred,NBA,1,2008,50,1
Morris Almond,NBA,2,2008,36,5
Derrick Alston,NBA,3,1995,19,3
Rafer Alston,NBA,2,2000,27,11
Peter Aluma,NBA,1,1999,29,1
John Amaechi,NBA,0,1996,25,8
Al-Farouq Aminu,NBA,3,2011,29,8
Chris Andersen,NBA,0,2002,22,16
David Andersen,NBA,1,2010,28,2
Cliff Anderson,NBA,0,1968,25,4
Derek Anderson,NBA,2,1998,38,11
Eric Anderson,NBA,3,1993,29,2
Greg Anderson,NBA,0,1988,28,11
Justin Anderson,NBA,2,2016,46,3
Kenny Anderson,NBA,2,1992,37,14
Kyle Anderson,NBA,0,2015,49,4
Michael Anderson,NBA,2,1989,21,1
Nick Anderson,NBA,0,1990,30,13
Richard Anderson,NBA,0,1983,25,8
Ryan Anderson,NBA,3,2009,36,10
Shandon Anderson,NBA,0,1997,30,10
Willie Anderson,NBA,0,1989,43,9
Ike Anigbogu,NBA,0,2018,51,1
Giannis Antetokounmpo,NBA,0,2014,22,5
Thanasis Antetokounmpo,NBA,3,2016,32,1
Carmelo Anthony,NBA,3,2004,37,15
Greg Anthony,NBA,2,1992,10,11
Joel Anthony,NBA,1,2008,26,10
OG Anunoby,NBA,3,2018,26,1
Keith Appling,NBA,2,2016,36,1
Robert Archibald,NBA,3,2003,55,2
Gilbert Arenas,NBA,2,2002,17,11
Joe Arlauckas,NBA,3,1988,21,1
Darrell Armstrong,NBA,2,1995,11,14
Hilton Armstrong,NBA,0,2007,52,8
Tate Armstrong,NBA,2,1978,45,2
Jay Arnette,NBA,2,1964,17,3
Carlos Arroyo,NBA,2,2002,14,10
Jamel Artis,NBA,0,2018,32,1
Omer Asik,NBA,1,2011,45,8
Vincent Askew,NBA,0,1988,21,11
Don Asmonga,NBA,2,1954,23,1
Al Attles,NBA,2,1961,45,11
Stacey Augmon,NBA,0,1992,5,15
D.J. Augustin,NBA,2,2009,25,10
James Augustine,NBA,3,2007,38,2
Isaac Austin,NBA,1,1992,48,11
Anthony Avent,NBA,3,1993,41,8
William Avery,NBA,2,2000,52,3
Gustavo Ayon,NBA,1,2012,25,3
Jeff Ayres,NBA,3,2010,27,7
Kelenna Azubuike,NBA,2,2007,17,6
Chris Babb,NBA,2,2014,25,1
Luke Babbitt,NBA,3,2011,43,8
Henry Bacon,NBA,2,1973,46,1
Dalibor Bagaric,NBA,1,2001,41,3
John Bagley,NBA,2,1983,25,12
Carl Bailey,NBA,1,1982,31,1
Gus Bailey,NBA,0,1975,18,6
James Bailey,NBA,0,1980,19,9
Thurl Bailey,NBA,0,1984,9,16
LaMark Baker,NBA,2,1999,20,1
Ron Baker,NBA,2,2017,46,2
Wade Baldwin,NBA,2,2017,33,1
Renaldo Balkman,NBA,3,2007,39,6
Ken Bannister,NBA,0,1985,34,7
Mike Bantom,NBA,0,1974,47,9
Leandro Barbosa,NBA,2,2004,36,14
J.J. Barea,NBA,2,2007,22,12
Charles Barkley,NBA,3,1985,7,16
Harry Barnes,NBA,3,1969,28,1
Jim Barnes,NBA,0,1965,13,7
Dick Barnett,NBA,0,1960,16,15
Jim Barnett,NBA,0,1967,14,11
Nathaniel Barnett,NBA,2,1976,38,1
John Barnhill,NBA,2,1963,10,10
Norton Barnhill,NBA,2,1977,53,1
Leo Barnhorst,NBA,0,1950,32,5
Mike Barr,NBA,2,1973,29,5
Earl Barron,NBA,1,2006,39,10
Dana Barros,NBA,2,1990,19,15
Brent Barry,NBA,2,1996,23,14
Drew Barry,NBA,2,1998,29,3
Rick Barry,NBA,3,1966,41,15
Will Barton,NBA,2,2013,30,6
Eddie Basden,NBA,2,2006,55,1
Maceo Baston,NBA,3,2003,28,7
Mengke Bateer,NBA,1,2002,46,3
Esteban Batista,NBA,0,2006,29,2
Mike Batiste,NBA,3,2003,27,1
Tony Battie,NBA,0,1998,20,15
Shane Battier,NBA,3,2002,40,13
John Battle,NBA,2,1986,22,10
Kenny Battle,NBA,3,1990,34,4
Dave Batton,NBA,1,1983,32,2
Johnny Baum,NBA,3,1970,52,5
Elgin Baylor,NBA,3,1959,17,14
Aron Baynes,NBA,1,2013,48,6
Al Beard,NBA,1,1968,21,1
Butch Beard,NBA,2,1970,43,10
Malik Beasley,NBA,2,2017,28,2
Ernie Beck,NBA,0,1954,12,8
Arthur Becker,NBA,3,1968,51,6
Ron Behagen,NBA,0,1974,45,7
Marco Belinelli,NBA,0,2008,29,11
Jordan Bell,NBA,3,2018,42,1
Raja Bell,NBA,2,2001,21,12
Whitey Bell,NBA,2,1960,21,2
Dragan Bender,NBA,3,2017,36,2
Jonathan Bender,NBA,3,2000,9,11
Jerrelle Benimon,NBA,3,2015,51,1
Benoit Benjamin,NBA,1,1986,8,15
Anthony Bennett,NBA,3,2014,44,4
Elmer Bennett,NBA,2,1995,22,3
Mario Bennett,NBA,3,1996,41,5
Mel Bennett,NBA,3,1976,33,7
Tony Bennett,NBA,2,1993,28,3
Winston Bennett,NBA,3,1990,22,3
Keith Benson,NBA,1,2012,58,1
Ricky Berry,NBA,3,1989,25,1
Patrick Beverley,NBA,2,2013,21,6
Wesley Bialosuknia,NBA,2,1968,36,1
Al Bianchi,NBA,2,1957,35,10
Lionel Billingy,NBA,0,1975,32,1
Chauncey Billups,NBA,2,1998,37,17
Bismack Biyombo,NBA,0,2012,50,7
Uwe Blab,NBA,1,1986,29,5
Norman Black,NBA,2,1981,40,1
Tarik Black,NBA,0,2015,56,4
Rolando Blackman,NBA,2,1982,19,13
Alex Blackwell,NBA,3,1993,25,1
Cory Blackwell,NBA,3,1985,20,1
DeJuan Blair,NBA,0,2010,14,7
Steve Blake,NBA,2,2004,21,13
Will Blalock,NBA,2,2007,41,1
Ricky Blanton,NBA,3,1993,26,1
Andray Blatche,NBA,3,2006,17,9
Leon Blevins,NBA,2,1951,36,1
Mark Blount,NBA,1,2001,43,9
Nelson Bobb,NBA,2,1950,17,4
Keith Bogans,NBA,0,2004,15,11
Bogdan Bogdanovic,NBA,2,2018,53,1
Bojan Bogdanovic,NBA,0,2015,31,4
Muggsy Bogues,NBA,2,1988,15,14
Andrew Bogut,NBA,1,2006,44,13
Bill Bolger,NBA,3,1954,23,1
Walter Bond,NBA,2,1993,51,3
Dexter Boney,NBA,2,1997,29,1
Anthony Bonner,NBA,3,1991,46,6
Matt Bonner,NBA,3,2005,9,12
Devin Booker,NBA,2,2016,29,3
Josh Boone,NBA,0,2007,31,4
Curtis Borchardt,NBA,1,2004,32,2
Jake Bornheimer,NBA,0,1949,25,2
Jim Bostic,NBA,3,1978,25,1
Tom Boswell,NBA,0,1976,51,9
Ruben Boumtje-Boumtje,NBA,1,2002,25,3
Cal Bowdler,NBA,3,2000,25,3
Ryan Bowen,NBA,3,2000,37,11
Anthony Bowie,NBA,0,1989,50,10
Sam Bowie,NBA,0,1985,12,11
Orbie Bowling,NBA,1,1968,25,1
Ira Bowman,NBA,2,2000,27,3
Donnie Boyce,NBA,2,1996,46,2
Dennis Boyd,NBA,2,1979,27,1
Ken Boyd,NBA,3,1975,53,1
Earl Boykins,NBA,2,1999,42,14
Winford Boynes,NBA,0,1979,29,3
Cedric Bozeman,NBA,2,2007,20,1
Steve Bracey,NBA,2,1973,31,3
Craig Brackins,NBA,3,2011,52,2
Alonzo Bradley,NBA,3,1978,37,3
Bill Bradley,NBA,0,1968,11,10
Charles Bradley,NBA,2,1982,30,3
Shawn Bradley,NBA,1,1994,26,12
Tony Bradley,NBA,0,2018,48,1
Mark Bradtke,NBA,0,1997,21,1
Marques Bragg,NBA,3,1996,19,1
Torraye Braggs,NBA,3,2004,41,2
A.J. Bramlett,NBA,1,2000,21,1
Adrian Branch,NBA,0,1987,17,4
Terrell Brandon,NBA,2,1992,34,11
Brad Branson,NBA,0,1982,51,2
Jim Brasco,NBA,2,1953,26,1
Jamison Brewer,NBA,2,2002,47,4
Primoz Brezec,NBA,1,2002,43,9
Frank Brickowski,NBA,0,1985,46,13
Bill Bridges,NBA,0,1963,40,13
John Brisker,NBA,0,1970,26,6
Allan Bristow,NBA,0,1974,22,10
Wayman Britt,NBA,2,1978,20,1
Dave Britton,NBA,2,1981,23,1
Jon Brockman,NBA,3,2010,18,3
Jim Brogan,NBA,2,1982,28,2
Aaron Brooks,NBA,2,2008,19,11
Kevin Brooks,NBA,3,1992,27,3
MarShon Brooks,NBA,0,2012,31,3
Andre Brown,NBA,3,2007,23,3
Anthony Brown,NBA,0,2016,48,2
Chucky Brown,NBA,3,1990,22,13
Damone Brown,NBA,3,2002,18,4
Dee Brown,NBA,2,1991,13,12
Dee Brown,NBA,2,2007,28,3
Ernest Brown,NBA,1,2002,27,1
Jabari Brown,NBA,2,2015,34,1
Jaylen Brown,NBA,0,2017,35,2
John Brown,NBA,3,1974,34,7
Kwame Brown,NBA,3,2002,47,12
Lorenzo Brown,NBA,2,2014,51,5
Marcus Brown,NBA,2,1997,28,4
Markel Brown,NBA,2,2015,46,2
Mike Brown,NBA,0,1987,19,11
Myron Brown,NBA,2,1992,27,1
P.J. Brown,NBA,0,1994,36,15
Raymond Brown,NBA,3,1990,40,1
Roger Brown,NBA,0,1968,39,8
Shannon Brown,NBA,2,2007,28,9
Tierre Brown,NBA,2,2002,35,4
Tony Brown,NBA,0,1985,40,8
George Bruns,NBA,2,1973,35,1
Rick Brunson,NBA,2,1998,44,9
Nicolas Brussino,NBA,0,2017,39,2
Kobe Bryant,NBA,0,1997,38,20
Mark Bryant,NBA,0,1989,25,15
Wallace Bryant,NBA,1,1984,47,3
Torgeir Bryn,NBA,1,1990,24,1
George Bucci,NBA,2,1976,38,1
Steve Bucknall,NBA,2,1990,36,1
Cleveland Buckner,NBA,0,1962,24,2
Greg Buckner,NBA,2,2000,12,10
Chase Budinger,NBA,3,2010,33,7
Matt Bullard,NBA,3,1991,35,12
Larry Bunce,NBA,1,1968,26,2
Greg Bunch,NBA,3,1979,32,1
Ticky Burden,NBA,2,1976,18,3
Trey Burke,NBA,2,2014,34,4
Kevin Burleson,NBA,2,2006,48,1
Junior Burrough,NBA,3,1996,28,1
Willie Burton,NBA,0,1991,42,9
Steve Burtt,NBA,2,1985,49,9
Don Buse,NBA,2,1973,35,13
Caron Butler,NBA,3,2003,14,14
Greg Butler,NBA,1,1989,43,3
Jackie Butler,NBA,0,2005,35,3
Jimmy Butler,NBA,0,2012,33,7
Mitchell Butler,NBA,0,1994,10,11
Rasual Butler,NBA,0,2003,16,14
Dwight Buycks,NBA,2,2014,31,2
Derrick Byars,NBA,3,2012,56,1
Marty Byrnes,NBA,3,1979,44,5
Zarko Cabarkapa,NBA,3,2004,42,3
Barney Cable,NBA,3,1959,34,6
Bruno Caboclo,NBA,3,2015,26,4
Jason Caffey,NBA,3,1996,15,8
Michael Cage,NBA,0,1985,19,16
Jose Calderon,NBA,2,2006,13,13
Jim Caldwell,NBA,1,1968,18,2
Corky Calhoun,NBA,3,1973,49,8
Demetrius Calip,NBA,2,1992,45,1
Mack Calvin,NBA,2,1970,8,12
Brian Cardinal,NBA,3,2001,42,12
Rick Carlisle,NBA,2,1985,53,6
Al Carlson,NBA,1,1976,59,1
Rodney Carney,NBA,3,2007,33,5
Antoine Carr,NBA,0,1985,30,16
Austin Carr,NBA,2,1972,21,10
Cory Carr,NBA,2,1999,46,1
M.L. Carr,NBA,0,1976,18,10
DeMarre Carroll,NBA,3,2010,35,9
Joe Barry Carroll,NBA,0,1981,23,11
Jimmy Carruth,NBA,0,1997,53,1
Anthony Carter,NBA,2,2000,39,13
George Carter,NBA,0,1968,11,9
Howard Carter,NBA,2,1984,28,2
Reggie Carter,NBA,2,1981,24,2
Ron Carter,NBA,2,1979,38,2
Vince Carter,NBA,0,1999,5,20
Bill Cartwright,NBA,1,1980,30,16
Alex Caruso,NBA,2,2018,30,1
Cornelius Cash,NBA,3,1977,26,1
Omri Casspi,NBA,3,2010,36,9
Harvey Catchings,NBA,0,1975,17,11
Bobby Cattage,NBA,3,1982,23,5
Willie Cauley-Stein,NBA,0,2016,47,3
Duane Causwell,NBA,1,1991,14,11
John Celestand,NBA,2,2000,51,1
Mario Chalmers,NBA,2,2009,50,10
Tom Chambers,NBA,0,1982,36,17
Tyson Chandler,NBA,1,2002,35,17
Don Chaney,NBA,2,1969,28,12
Rex Chapman,NBA,2,1989,26,12
Ken Charles,NBA,2,1974,24,5
Calbert Cheaney,NBA,0,1994,27,13
Maurice Cheeks,NBA,2,1979,11,15
Will Cherry,NBA,2,2015,43,1
Derrick Chievous,NBA,3,1989,22,3
Leroy Chollet,NBA,3,1950,23,2
Jim Chones,NBA,0,1973,27,10
Marquese Chriss,NBA,3,2017,47,2
Doug Christie,NBA,0,1993,5,15
Rakeem Christmas,NBA,3,2016,44,2
Patrick Christopher,NBA,0,2015,55,1
Carlos Clark,NBA,2,1984,40,2
Earl Clark,NBA,3,2010,18,6
Ian Clark,NBA,2,2014,22,5
Jordan Clarkson,NBA,2,2015,45,4
Gian Clavell,NBA,2,2018,40,1
Charles Claxton,NBA,1,1996,53,1
Jim Cleamons,NBA,2,1972,50,9
Nat Clifton,NBA,0,1951,34,8
Keith Closs,NBA,1,1998,33,3
Richard Coffey,NBA,3,1991,30,1
Fred Cofield,NBA,2,1986,19,2
John Coker,NBA,1,1996,46,6
Ben Coleman,NBA,3,1987,26,8
Derrick Coleman,NBA,3,1991,23,15
Norris Coleman,NBA,3,1988,30,1
Bimbo Coles,NBA,2,1991,40,14
Jason Collier,NBA,1,2001,28,5
Doug Collins,NBA,0,1974,28,8
Jarron Collins,NBA,0,2002,18,10
Jason Collins,NBA,1,2002,15,13
John Collins,NBA,3,2018,27,1
Mardy Collins,NBA,2,2007,20,4
Sherron Collins,NBA,2,2011,31,1
Kyle Collinsworth,NBA,0,2018,43,1
Darren Collison,NBA,2,2010,48,9
Sean Colson,NBA,2,2001,58,1
Steve Colter,NBA,2,1985,21,11
Glen Combs,NBA,2,1969,30,7
Leroy Combs,NBA,3,1984,41,1
John Comeaux,NBA,3,1968,38,1
Dallas Comegys,NBA,3,1988,44,2
Jeffrey Congdon,NBA,2,1968,35,5
Pat Connaughton,NBA,2,2016,34,3
Chuck Connors,NBA,0,1947,24,2
Will Conroy,NBA,2,2007,27,7
Brian Cook,NBA,3,2004,49,9
Daequan Cook,NBA,2,2008,26,6
Omar Cook,NBA,2,2004,56,2
Quinn Cook,NBA,2,2017,26,2
Duane Cooper,NBA,2,1993,29,2
Michael Cooper,NBA,0,1979,24,12
Wayne Cooper,NBA,0,1979,14,14
Tom Copa,NBA,1,1992,30,1
Chris Copeland,NBA,3,2013,45,4
Hollis Copeland,NBA,3,1980,52,3
Lanard Copeland,NBA,2,1990,34,3
Ray Corley,NBA,2,1950,26,4
Mel Counts,NBA,0,1965,37,12
Joe Courtney,NBA,3,1993,45,5
Marcus Cousin,NBA,1,2011,56,1
Robert Covington,NBA,3,2014,22,5
Johnny Cox,NBA,2,1963,22,1
Allen Crabbe,NBA,0,2014,28,5
Torrey Craig,NBA,0,2018,30,1
Chris Crawford,NBA,3,1998,48,7
Joe Crawford,NBA,3,2009,30,1
Jim Creighton,NBA,3,1976,30,1
Ron Crevier,NBA,1,1986,21,1
Charlie Criss,NBA,2,1978,32,8
Winston Crite,NBA,3,1988,31,2
Javaris Crittenton,NBA,2,2008,33,2
Bobby Croft,NBA,1,1971,23,1
Geoff Crompton,NBA,1,1979,18,6
Terry Crosby,NBA,2,1980,57,1
Austin Croshere,NBA,3,1998,29,12
Jeff Cross,NBA,3,1986,46,1
Pete Cross,NBA,0,1971,17,3
John Crotty,NBA,2,1993,47,11
Corey Crowder,NBA,0,1992,16,4
Pat Cummings,NBA,0,1980,34,12
Vonteego Cummings,NBA,2,2000,26,3
Jared Cunningham,NBA,2,2013,41,4
Radisav Curcic,NBA,1,1993,29,1
Bill Curley,NBA,3,1995,27,7
Eddy Curry,NBA,1,2002,32,12
JamesOn Curry,NBA,2,2010,59,1
Stephen Curry,NBA,2,2010,49,9
Mike D'Antoni,NBA,2,1974,52,4
Quintin Dailey,NBA,2,1983,36,10
Samuel Dalembert,NBA,1,2002,27,14
Erick Dampier,NBA,1,1997,30,16
Bob Dandridge,NBA,0,1970,26,13
Antonio Daniels,NBA,2,1998,7,14
Erik Daniels,NBA,3,2005,35,1
Lloyd Daniels,NBA,2,1993,37,6
Mel Daniels,NBA,1,1968,46,10
Sasha Danilovic,NBA,2,1996,24,2
Adrian Dantley,NBA,0,1977,26,15
Yinka Dare,NBA,1,1995,30,4
Jimmy Darrow,NBA,2,1962,42,1
Luigi Datome,NBA,3,2014,23,2
Jermareo Davidson,NBA,3,2008,29,2
Antonio Davis,NBA,0,1994,39,13
Baron Davis,NBA,2,2000,42,13
Ben Davis,NBA,3,1997,48,4
Brad Davis,NBA,2,1978,29,15
Charles Davis,NBA,3,1982,14,9
Dale Davis,NBA,0,1992,36,16
Deyonta Davis,NBA,0,2017,47,2
Dwight Davis,NBA,3,1973,32,5
Emanual Davis,NBA,2,1997,17,7
Hubert Davis,NBA,2,1993,20,12
Jim Davis,NBA,0,1968,18,8
Johnny Davis,NBA,2,1977,27,10
Lee Davis,NBA,0,1969,13,8
Mark Davis,NBA,0,1989,31,1
Mel Davis,NBA,3,1974,36,4
Mickey Davis,NBA,0,1972,40,6
Mike Davis,NBA,3,1983,29,1
Terry Davis,NBA,0,1990,33,12
Walter Davis,NBA,0,1978,21,15
Darryl Dawkins,NBA,1,1976,9,14
Johnny Dawkins,NBA,2,1987,17,9
Branden Dawson,NBA,3,2016,56,1
Eric Dawson,NBA,3,2012,25,1
Tony Dawson,NBA,3,1991,45,5
Austin Daye,NBA,3,2010,37,6
Greg Deane,NBA,2,1980,44,1
Dave DeBusschere,NBA,0,1963,39,12
Dewayne Dedmon,NBA,1,2014,20,5
Terry Dehere,NBA,2,1994,25,6
Bryce Dejean-Jones,NBA,2,2016,42,1
Sam Dekker,NBA,3,2016,26,3
Malcolm Delaney,NBA,2,2017,51,2
Bison Dele,NBA,0,1992,35,8
Carlos Delfino,NBA,2,2005,35,9
Matthew Dellavedova,NBA,2,2014,29,5
Fennis Dembo,NBA,3,1989,59,1
Dell Demps,NBA,2,1994,45,4
Randy Denton,NBA,1,1972,50,6
DeMar DeRozan,NBA,0,2010,28,9
Derrick Dial,NBA,2,2000,22,5
Boris Diaw,NBA,0,2004,29,14
Yakhouba Diawara,NBA,0,2007,56,4
Guillermo Diaz,NBA,2,2008,57,1
Clyde Dickey,NBA,2,1975,39,1
Derrek Dickey,NBA,3,1974,26,5
John Dickson,NBA,1,1968,24,1
Connie Dierking,NBA,0,1959,42,13
Coby Dietrick,NBA,0,1971,47,13
Dwaine Dillard,NBA,3,1976,33,1
Byron Dinkins,NBA,2,1990,50,2
Jackie Dinkins,NBA,3,1972,43,1
Spencer Dinwiddie,NBA,2,2015,48,4
DeSagana Diop,NBA,1,2002,25,12
Terry Dischinger,NBA,0,1963,36,11
Fred Diute,NBA,2,1955,36,1
Vlade Divac,NBA,1,1990,33,16
Aleksandar Djordjevic,NBA,2,1997,32,1
Earl Dodd,NBA,3,1950,24,1
Michael Doleac,NBA,1,1999,19,10
James Donaldson,NBA,1,1981,33,15
Keyon Dooling,NBA,2,2001,37,13
Jacky Dorsey,NBA,3,1978,22,4
Tyler Dorsey,NBA,2,2018,32,1
Damyean Dotson,NBA,2,2018,31,1
Bruce Douglas,NBA,2,1987,38,1
Sherman Douglas,NBA,2,1990,40,12
Chris Douglas-Roberts,NBA,2,2009,43,7
Zabian Dowdell,NBA,2,2011,49,1
Steve Downing,NBA,1,1974,20,2
Goran Dragic,NBA,2,2009,47,10
Zoran Dragic,NBA,0,2015,42,1
Greg Dreiling,NBA,1,1987,40,11
Bryce Drew,NBA,2,1999,24,6
John Drew,NBA,0,1975,21,11
Clyde Drexler,NBA,2,1984,20,15
Nate Driggers,NBA,2,1997,47,1
Predrag Drobnjak,NBA,1,2002,17,4
Ralph Drollinger,NBA,1,1981,25,1
Jared Dudley,NBA,0,2008,45,11
Bob Duffy,NBA,2,1963,41,3
Chris Duhon,NBA,2,2005,29,9
Richard Dumas,NBA,3,1993,38,4
Tim Duncan,NBA,0,1998,40,19
Mike Dunleavy,NBA,2,1977,28,14
Mike Dunleavy,NBA,0,2003,36,15
Kris Dunn,NBA,2,2017,57,2
T.R. Dunn,NBA,0,1978,26,14
Kevin Durant,NBA,0,2008,49,11
John Duren,NBA,2,1981,51,3
Pat Durham,NBA,3,1993,27,3
Devin Durrant,NBA,3,1985,39,2
