,sport,position,start_year,start_age,years_played
59369,mlb,G_p,2017,26,1.0
59614,mlb,G_p,2016,25,1.0
59615,mlb,G_p,2016,25,1.0
59697,mlb,G_p,2016,23,1.0
59855,mlb,G_p,2018,34,1.0
60124,mlb,G_p,2018,34,1.0
60483,mlb,G_p,2015,27,1.0
60507,mlb,G_p,2014,26,3.0
60508,mlb,G_p,2014,26,3.0
60509,mlb,G_p,2014,26,3.0
60534,mlb,G_c,2017,28,1.0
60535,mlb,G_c,2017,28,1.0
60560,mlb,G_p,2014,26,4.0
60561,mlb,G_p,2014,26,4.0
60562,mlb,G_p,2014,26,4.0
60563,mlb,G_p,2015,25,1.0
60564,mlb,G_p,2015,25,1.0
60855,mlb,G_p,2017,22,1.0
60856,mlb,G_if,2015,24,4.0
60857,mlb,G_if,2015,24,4.0
60858,mlb,G_if,2015,24,4.0
60859,mlb,G_if,2015,24,4.0
60866,mlb,G_p,2016,29,1.0
60980,mlb,G_p,2015,26,3.0
60981,mlb,G_p,2015,26,3.0
60982,mlb,G_p,2015,26,3.0
60983,mlb,G_p,2015,26,3.0
61155,mlb,G_p,2017,26,1.0
61206,mlb,G_p,2014,24,4.0
61207,mlb,G_p,2014,24,4.0
61208,mlb,G_p,2014,24,4.0
61209,mlb,G_p,2014,24,4.0
61296,mlb,G_p,2015,31,2.0
61297,mlb,G_p,2015,31,2.0
62044,mlb,G_c,2016,26,2.0
62045,mlb,G_c,2016,26,2.0
62046,mlb,G_c,2016,26,2.0
62227,mlb,G_of,2017,25,1.0
62459,mlb,G_p,2015,26,4.0
62460,mlb,G_p,2015,26,4.0
62461,mlb,G_p,2015,26,4.0
63113,mlb,G_p,2014,26,1.0
63149,mlb,G_p,2018,26,0.0
63756,mlb,G_p,2015,26,1.0
63773,mlb,G_p,2017,26,1.0
63809,mlb,G_p,2017,25,1.0
63810,mlb,G_p,2017,25,1.0
63912,mlb,G_p,2017,28,2.0
63913,mlb,G_p,2017,28,2.0
63914,mlb,G_p,2017,28,2.0
64156,mlb,G_p,2015,25,1.0
64960,mlb,G_if,2017,26,1.0
65143,mlb,G_p,2014,24,2.0
65144,mlb,G_p,2014,24,2.0
65145,mlb,G_p,2014,24,2.0
65294,mlb,G_p,2014,24,0.0
65423,mlb,G_p,2016,24,2.0
65424,mlb,G_p,2016,24,2.0
65610,mlb,G_p,2015,25,3.0
65611,mlb,G_p,2015,25,3.0
65612,mlb,G_p,2015,25,3.0
65613,mlb,G_p,2015,25,3.0
65619,mlb,G_p,2018,25,1.0
66311,mlb,G_if,2016,27,0.0
66814,mlb,G_p,2016,27,2.0
66815,mlb,G_p,2016,27,2.0
66816,mlb,G_p,2016,27,2.0
66817,mlb,G_p,2016,27,2.0
66856,mlb,G_p,2014,23,5.0
66857,mlb,G_p,2014,23,5.0
66858,mlb,G_p,2014,23,5.0
66859,mlb,G_p,2014,23,5.0
66860,mlb,G_p,2014,23,5.0
67273,mlb,G_p,2016,32,1.0
67275,mlb,G_p,2017,25,1.0
67315,mlb,G_of,2017,29,1.0
67958,mlb,G_p,2018,26,0.0
68127,mlb,G_p,2015,28,2.0
68128,mlb,G_p,2015,28,2.0
68391,mlb,G_p,2016,30,1.0
68392,mlb,G_p,2015,23,4.0
68393,mlb,G_p,2015,23,4.0
68394,mlb,G_p,2015,23,4.0
68666,mlb,G_p,2015,24,2.0
68667,mlb,G_p,2015,24,2.0
68879,mlb,G_if,2016,27,3.0
68880,mlb,G_if,2016,27,3.0
68881,mlb,G_of,2016,27,3.0
68882,mlb,G_if,2016,27,3.0
68962,mlb,G_p,2017,22,2.0
68963,mlb,G_p,2017,22,2.0
68964,mlb,G_of,2014,23,3.0
68965,mlb,G_of,2014,23,3.0
68966,mlb,G_of,2014,23,3.0
69181,mlb,G_p,2016,28,1.0
69348,mlb,G_if,2015,26,1.0
69429,mlb,G_p,2015,30,0.0
69694,mlb,G_p,2015,25,2.0
69695,mlb,G_p,2015,25,2.0
70378,mlb,G_if,2015,26,1.0
70462,mlb,G_p,2016,28,2.0
70463,mlb,G_p,2016,28,2.0
70464,mlb,G_p,2016,28,2.0
70715,mlb,G_p,2015,25,1.0
70970,mlb,G_if,2017,27,2.0
70971,mlb,G_if,2017,27,2.0
71019,mlb,G_c,2016,28,2.0
71020,mlb,G_c,2016,28,2.0
71137,mlb,G_p,2015,24,3.0
71138,mlb,G_p,2015,24,3.0
71139,mlb,G_p,2015,24,3.0
71294,mlb,G_c,2014,25,1.0
71429,mlb,G_p,2018,22,1.0
71521,mlb,G_of,2015,26,1.0
72059,mlb,G_p,2018,25,1.0
72548,mlb,G_p,2015,26,2.0
72549,mlb,G_p,2015,26,2.0
72586,mlb,G_p,2017,27,1.0
72587,mlb,G_p,2017,27,1.0
72627,mlb,G_c,2017,27,1.0
72892,mlb,G_if,2015,30,1.0
72893,mlb,G_of,2015,30,1.0
73062,mlb,G_of,2014,27,3.0
73063,mlb,G_of,2014,27,3.0
73064,mlb,G_if,2014,27,3.0
73287,mlb,G_of,2015,30,4.0
73288,mlb,G_of,2015,30,4.0
73289,mlb,G_of,2015,30,4.0
73290,mlb,G_of,2015,30,4.0
73509,mlb,G_of,2017,27,1.0
73952,mlb,G_p,2016,25,2.0
73953,mlb,G_p,2016,25,2.0
73954,mlb,G_p,2016,25,2.0
74023,mlb,G_p,2015,23,2.0
74024,mlb,G_p,2015,23,2.0
74062,mlb,G_p,2014,27,0.0
74627,mlb,G_p,2017,22,2.0
74628,mlb,G_p,2017,22,2.0
74629,mlb,G_p,2017,31,1.0
74630,mlb,G_p,2017,31,1.0
74680,mlb,G_if,2016,30,1.0
74761,mlb,G_of,2014,25,2.0
74762,mlb,G_of,2014,25,2.0
74813,mlb,G_of,2017,28,1.0
75208,mlb,G_of,2016,24,1.0
75224,mlb,G_p,2014,27,0.0
75282,mlb,G_p,2016,22,3.0
75283,mlb,G_p,2016,22,3.0
75284,mlb,G_p,2016,22,3.0
75319,mlb,G_if,2014,27,3.0
75320,mlb,G_if,2014,27,3.0
75321,mlb,G_if,2014,27,3.0
75674,mlb,G_p,2018,23,1.0
75733,mlb,G_p,2015,26,1.0
75734,mlb,G_p,2015,26,1.0
75776,mlb,G_c,2014,25,5.0
75777,mlb,G_c,2014,25,5.0
75778,mlb,G_c,2014,25,5.0
75779,mlb,G_c,2014,25,5.0
75780,mlb,G_c,2014,25,5.0
76137,mlb,G_c,2015,25,4.0
76138,mlb,G_c,2015,25,4.0
76139,mlb,G_c,2015,25,4.0
76140,mlb,G_c,2015,25,4.0
76141,mlb,G_c,2015,25,4.0
76389,mlb,G_p,2015,24,2.0
76390,mlb,G_p,2015,24,2.0
76391,mlb,G_if,2016,25,1.0
76417,mlb,G_of,2017,27,1.0
77632,mlb,G_p,2017,27,1.0
77653,mlb,G_p,2015,26,2.0
77654,mlb,G_p,2015,26,2.0
77720,mlb,G_p,2014,31,1.0
77721,mlb,G_p,2014,31,1.0
78224,mlb,G_of,2014,22,4.0
78225,mlb,G_of,2014,22,4.0
78226,mlb,G_of,2014,22,4.0
78227,mlb,G_of,2014,22,4.0
78540,mlb,G_p,2017,24,1.0
78567,mlb,G_of,2017,24,1.0
78568,mlb,G_of,2017,24,1.0
78569,mlb,G_of,2017,24,1.0
78854,mlb,G_p,2014,28,1.0
79243,mlb,G_p,2016,26,1.0
79319,mlb,G_p,2014,26,4.0
79320,mlb,G_p,2014,26,4.0
79321,mlb,G_p,2014,26,4.0
79322,mlb,G_p,2014,26,4.0
79323,mlb,G_p,2014,26,4.0
79399,mlb,G_if,2016,24,1.0
79918,mlb,G_p,2017,26,1.0
79919,mlb,G_p,2017,26,1.0
79920,mlb,G_p,2017,26,1.0
79991,mlb,G_p,2014,24,4.0
79992,mlb,G_p,2014,24,4.0
79993,mlb,G_p,2014,24,4.0
79994,mlb,G_p,2014,24,4.0
79995,mlb,G_p,2014,24,4.0
79996,mlb,G_p,2014,24,4.0
80195,mlb,G_p,2014,25,3.0
80196,mlb,G_p,2014,25,3.0
80197,mlb,G_p,2014,25,3.0
80198,mlb,G_p,2014,25,3.0
80377,mlb,G_p,2014,25,2.0
80378,mlb,G_p,2014,25,2.0
80379,mlb,G_p,2014,25,2.0
80439,mlb,G_p,2015,27,3.0
80440,mlb,G_p,2015,27,3.0
80441,mlb,G_p,2015,27,3.0
80442,mlb,G_p,2015,27,3.0
80624,mlb,G_p,2015,28,1.0
80775,mlb,G_p,2015,25,1.0
81123,mlb,G_if,2017,25,2.0
81124,mlb,G_if,2017,25,2.0
81251,mlb,G_if,2016,25,3.0
81252,mlb,G_p,2016,25,3.0
81565,mlb,G_p,2018,25,1.0
82287,mlb,G_p,2014,24,2.0
82288,mlb,G_p,2014,24,2.0
82650,mlb,G_if,2014,26,1.0
82772,mlb,G_if,2016,28,1.0
82773,mlb,G_if,2016,28,1.0
82836,mlb,G_p,2014,25,3.0
82837,mlb,G_p,2014,25,3.0
82838,mlb,G_p,2014,25,3.0
83015,mlb,G_of,2014,29,4.0
83016,mlb,G_of,2014,29,4.0
83017,mlb,G_of,2014,29,4.0
83018,mlb,G_of,2014,29,4.0
83055,mlb,G_p,2015,27,1.0
83056,mlb,G_p,2015,27,1.0
83651,mlb,G_if,2014,31,1.0
83754,mlb,G_p,2017,25,1.0
83755,mlb,G_p,2017,25,1.0
83807,mlb,G_p,2014,24,1.0
83808,mlb,G_of,2014,22,1.0
83923,mlb,G_if,2014,26,3.0
83924,mlb,G_if,2014,26,3.0
83925,mlb,G_if,2014,26,3.0
84129,mlb,G_p,2015,26,2.0
84130,mlb,G_p,2015,26,2.0
84168,mlb,G_of,2014,29,2.0
84169,mlb,G_of,2014,29,2.0
84262,mlb,G_of,2014,26,3.0
84263,mlb,G_of,2014,26,3.0
84264,mlb,G_of,2014,26,3.0
84357,mlb,G_p,2014,26,2.0
84358,mlb,G_p,2014,26,2.0
84359,mlb,G_p,2014,26,2.0
84360,mlb,G_p,2014,26,2.0
84465,mlb,G_c,2016,29,2.0
84466,mlb,G_p,2016,29,2.0
84655,mlb,G_p,2014,26,2.0
84656,mlb,G_p,2014,26,2.0
84947,mlb,G_p,2017,27,1.0
84948,mlb,G_p,2017,27,1.0
85005,mlb,G_of,2014,24,5.0
85006,mlb,G_of,2014,24,5.0
85007,mlb,G_of,2014,24,5.0
85008,mlb,G_of,2014,24,5.0
85009,mlb,G_of,2014,24,5.0
85020,mlb,G_p,2014,26,5.0
85021,mlb,G_p,2014,26,5.0
85022,mlb,G_p,2014,26,5.0
85023,mlb,G_p,2014,26,5.0
86199,mlb,G_p,2015,24,2.0
86200,mlb,G_p,2015,24,2.0
86279,mlb,G_p,2017,28,1.0
86783,mlb,G_p,2017,26,1.0
86784,mlb,G_p,2017,26,1.0
86839,mlb,G_if,2014,21,5.0
86840,mlb,G_if,2014,21,5.0
86841,mlb,G_if,2014,21,5.0
86842,mlb,G_if,2014,21,5.0
86843,mlb,G_if,2014,21,5.0
86844,mlb,G_if,2014,21,5.0
86960,mlb,G_p,2016,26,3.0
86961,mlb,G_p,2016,26,3.0
86962,mlb,G_p,2016,26,3.0
87491,mlb,G_if,2016,28,2.0
87492,mlb,G_if,2016,28,2.0
87493,mlb,G_of,2016,28,2.0
87534,mlb,G_p,2014,26,1.0
87907,mlb,G_p,2015,26,3.0
87908,mlb,G_p,2015,26,3.0
87909,mlb,G_p,2015,26,3.0
87935,mlb,G_p,2014,29,3.0
87936,mlb,G_p,2014,29,3.0
87937,mlb,G_p,2014,29,3.0
88096,mlb,G_p,2016,26,1.0
88097,mlb,G_p,2016,26,1.0
88328,mlb,G_p,2017,26,1.0
88329,mlb,G_p,2017,26,1.0
88335,mlb,G_if,2014,27,3.0
88336,mlb,G_if,2014,27,3.0
88337,mlb,G_if,2014,27,3.0
88541,mlb,G_if,2016,28,2.0
88542,mlb,G_if,2016,28,2.0
88707,mlb,G_of,2016,27,1.0
88708,mlb,G_if,2016,27,1.0
88988,mlb,G_p,2017,28,1.0
88989,mlb,G_p,2017,28,1.0
89017,mlb,G_if,2015,24,2.0
89018,mlb,G_if,2015,24,2.0
89667,mlb,G_p,2016,24,2.0
89668,mlb,G_p,2016,24,2.0
89669,mlb,G_p,2016,24,2.0
90250,mlb,G_p,2014,24,4.0
90251,mlb,G_p,2014,24,4.0
90252,mlb,G_p,2014,24,4.0
90436,mlb,G_if,2014,23,2.0
90437,mlb,G_if,2014,23,2.0
90698,mlb,G_p,2017,25,0.0
90968,mlb,G_p,2016,29,1.0
91038,mlb,G_p,2014,25,4.0
91039,mlb,G_p,2014,25,4.0
91040,mlb,G_p,2014,25,4.0
91041,mlb,G_p,2014,25,4.0
91042,mlb,G_p,2014,25,4.0
91084,mlb,G_p,2014,25,1.0
91085,mlb,G_p,2014,25,1.0
91086,mlb,G_p,2017,29,1.0
91367,mlb,G_p,2016,26,1.0
91508,mlb,G_p,2018,31,1.0
91686,mlb,G_if,2017,26,1.0
91743,mlb,G_p,2016,28,3.0
91744,mlb,G_p,2016,28,3.0
91745,mlb,G_p,2016,28,3.0
91746,mlb,G_p,2016,28,3.0
91747,mlb,G_of,2014,25,4.0
91748,mlb,G_of,2014,25,4.0
91749,mlb,G_of,2014,25,4.0
91750,mlb,G_of,2014,25,4.0
91751,mlb,G_of,2014,25,4.0
91752,mlb,G_of,2014,25,4.0
91838,mlb,G_p,2018,26,1.0
91881,mlb,G_p,2014,25,1.0
92127,mlb,G_p,2015,27,4.0
92128,mlb,G_p,2015,27,4.0
92129,mlb,G_p,2015,27,4.0
92130,mlb,G_p,2015,27,4.0
92182,mlb,G_p,2016,27,1.0
92366,mlb,G_p,2015,24,1.0
93288,mlb,G_c,2015,27,1.0
93494,mlb,G_if,2017,28,1.0
93828,mlb,G_p,2017,23,2.0
93829,mlb,G_p,2017,23,2.0
94210,mlb,G_p,2014,24,2.0
94211,mlb,G_p,2014,24,2.0
94477,mlb,G_p,2018,25,1.0
94612,mlb,G_of,2015,27,1.0
94943,mlb,G_p,2016,31,1.0
94986,mlb,G_p,2016,27,2.0
94987,mlb,G_p,2016,27,2.0
95757,mlb,G_of,2015,24,3.0
95758,mlb,G_of,2015,24,3.0
95966,mlb,G_of,2014,25,4.0
95967,mlb,G_of,2014,25,4.0
95968,mlb,G_of,2014,25,4.0
95969,mlb,G_of,2014,25,4.0
95970,mlb,G_of,2014,25,4.0
95971,mlb,G_of,2014,25,4.0
96034,mlb,G_of,2017,28,1.0
96248,mlb,G_c,2015,28,1.0
96404,mlb,G_of,2014,22,1.0
96421,mlb,G_p,2017,25,2.0
96422,mlb,G_p,2017,25,2.0
96847,mlb,G_c,2014,23,4.0
96848,mlb,G_c,2014,23,4.0
96849,mlb,G_c,2014,23,4.0
96850,mlb,G_c,2014,23,4.0
96851,mlb,G_if,2014,23,4.0
96852,mlb,G_c,2014,23,4.0
97192,mlb,G_p,2017,24,1.0
97395,mlb,G_p,2014,27,2.0
97396,mlb,G_p,2014,27,2.0
97397,mlb,G_p,2014,27,2.0
97598,mlb,G_p,2016,22,2.0
97599,mlb,G_p,2016,22,2.0
97600,mlb,G_p,2016,22,2.0
97709,mlb,G_p,2014,27,1.0
97722,mlb,G_of,2015,24,3.0
97723,mlb,G_of,2015,24,3.0
97724,mlb,G_of,2015,24,3.0
97725,mlb,G_of,2015,24,3.0
97726,mlb,G_of,2015,24,3.0
98223,mlb,G_of,2018,23,1.0
98280,mlb,G_of,2016,24,3.0
98281,mlb,G_of,2016,24,3.0
98282,mlb,G_of,2016,24,3.0
98315,mlb,G_p,2016,28,2.0
98316,mlb,G_p,2016,28,2.0
98388,mlb,G_if,2015,25,4.0
98389,mlb,G_if,2015,25,4.0
98390,mlb,G_if,2015,25,4.0
98391,mlb,G_if,2015,25,4.0
98551,mlb,G_p,2016,23,2.0
98552,mlb,G_p,2016,23,2.0
98583,mlb,G_if,2017,24,2.0
98584,mlb,G_if,2017,24,2.0
98753,mlb,G_p,2015,27,0.0
98768,mlb,G_if,2018,25,1.0
98822,mlb,G_if,2015,24,4.0
98823,mlb,G_if,2015,24,4.0
98824,mlb,G_if,2015,24,4.0
98825,mlb,G_if,2015,24,4.0
99181,mlb,G_p,2017,23,1.0
99182,mlb,G_p,2017,23,1.0
99221,mlb,G_of,2015,25,4.0
99222,mlb,G_of,2015,25,4.0
99223,mlb,G_of,2015,25,4.0
99224,mlb,G_of,2015,25,4.0
99404,mlb,G_c,2017,26,1.0
99940,mlb,G_p,2015,25,3.0
99941,mlb,G_p,2015,25,3.0
99942,mlb,G_p,2015,25,3.0
99943,mlb,G_p,2015,25,3.0
99944,mlb,G_p,2015,25,3.0
100092,mlb,G_if,2018,24,1.0
100404,mlb,G_p,2016,25,1.0
100438,mlb,G_if,2014,24,4.0
100439,mlb,G_if,2014,24,4.0
100440,mlb,G_if,2014,24,4.0
100441,mlb,G_if,2014,24,4.0
100495,mlb,G_p,2018,26,1.0
100496,mlb,G_p,2018,26,1.0
100928,mlb,G_p,2015,25,3.0
100929,mlb,G_p,2015,25,3.0
100930,mlb,G_p,2015,25,3.0
100931,mlb,G_p,2015,25,3.0
101026,mlb,G_if,2018,24,1.0
101047,mlb,G_if,2017,26,1.0
101048,mlb,G_if,2017,26,1.0
101121,mlb,G_if,2017,26,1.0
101122,mlb,G_if,2017,26,1.0
101492,mlb,G_p,2014,33,2.0
101493,mlb,G_p,2014,33,2.0
101689,mlb,G_p,2015,24,1.0
101690,mlb,G_p,2015,24,1.0
101832,mlb,G_p,2015,24,2.0
101833,mlb,G_of,2015,24,2.0
102315,mlb,G_if,2016,27,1.0
102879,mlb,G_of,2017,27,1.0
103520,mlb,G_p,2018,26,0.0
103949,mlb,G_p,2014,26,1.0
103950,mlb,G_p,2014,26,1.0
104026,mlb,G_p,2016,22,2.0
104027,mlb,G_p,2016,22,2.0
104028,mlb,G_p,2016,22,2.0
104103,mlb,G_p,2017,27,1.0
104117,mlb,G_if,2014,27,1.0
104570,mlb,G_p,2014,25,4.0
104571,mlb,G_p,2014,25,4.0
104572,mlb,G_p,2014,25,4.0
104573,mlb,G_p,2014,25,4.0
104574,mlb,G_p,2014,25,4.0
104996,mlb,G_if,2014,26,2.0
104997,mlb,G_if,2014,26,2.0
105322,mlb,G_c,2014,28,2.0
105323,mlb,G_c,2014,28,2.0
106121,mlb,G_p,2015,26,3.0
106122,mlb,G_p,2015,26,3.0
106123,mlb,G_p,2015,26,3.0
106181,mlb,G_p,2016,28,1.0
106182,mlb,G_p,2016,28,1.0
107225,mlb,G_p,2016,25,2.0
107226,mlb,G_p,2016,25,2.0
107227,mlb,G_p,2016,25,2.0
107749,mlb,G_p,2016,25,2.0
107750,mlb,G_p,2016,25,2.0
107751,mlb,G_if,2014,27,2.0
107752,mlb,G_if,2014,27,2.0
107753,mlb,G_of,2014,27,2.0
108093,mlb,G_p,2016,26,1.0
108336,mlb,G_p,2016,24,2.0
108337,mlb,G_p,2016,24,2.0
108338,mlb,G_p,2016,24,2.0
108713,mlb,G_p,2015,25,2.0
108714,mlb,G_p,2015,25,2.0
108715,mlb,G_p,2015,25,2.0
