Player,sport,position,start_year,start_age,years_played
Dan Sexton\sextoda01,Hockey,Right Wing,2010,22,2
Dana Tyrell\tyrelda01,Hockey,Center,2011,21,5
Dane Byers\byersda01,Hockey,Left Wing,2008,21,5
Daniel Bang\bangda01,Hockey,Right Wing,2013,25,1
Daniel Carcillo\carcida01,Hockey,Left Wing,2007,22,9
Daniel Carr\carrda01,Hockey,Left Wing,2016,24,2
Daniel Catenacci\catenda01,Hockey,Center,2016,22,1
Daniel O'Regan\oregada01,Hockey,Center,2017,23,1
Daniel Sprong\spronda01,Hockey,Right Wing,2016,18,1
Daniel Winnik\winnida01,Hockey,Center,2008,22,10
Daniil Tarasov\tarasda01,Hockey,Right Wing,2015,23,1
Danny Biega\biegada01,Hockey,Defense,2015,23,1
Danny Bois\boisda01,Hockey,Right Wing,2007,23,1
Danny DeKeyser\dekeyda01,Hockey,Defense,2013,22,5
Danny Irmen\irmenda01,Hockey,Center,2010,25,1
Danton Heinen\heineda01,Hockey,Center,2017,21,1
Darcy Campbell\campbda02,Hockey,Defense,2007,22,1
Patrick Fischer\fischpa01,Hockey,Center,2007,31,1
Darnell Nurse\nurseda01,Hockey,Defense,2015,19,3
Darren Archibald\archida02,Hockey,Right Wing,2014,23,1
Darren Dietz\dietzda01,Hockey,Defense,2016,22,1
Darren Haydar\haydada01,Hockey,Right Wing,2007,27,4
Darren Helm\helmda01,Hockey,Center,2008,21,10
Darroll Powe\poweda01,Hockey,Center,2009,23,6
Darryl Bootland\bootlda01,Hockey,Right Wing,2007,25,2
Darryl Boyce\boyceda01,Hockey,Center,2008,23,5
Dave Bolland\bollada01,Hockey,Center,2007,20,10
Dave Moss\mossda01,Hockey,Left Wing,2007,25,9
David Backes\backeda01,Hockey,Center,2007,22,11
David Booth\boothda01,Hockey,Left Wing,2007,22,9
David Brine\brineda01,Hockey,Center,2008,23,1
David Broll\brollda01,Hockey,Left Wing,2014,21,1
David Clarkson\clarkda03,Hockey,Right Wing,2007,22,10
David Desharnais\deshada01,Hockey,Center,2010,23,8
David Dziurzynski\dziurda01,Hockey,Center,2013,23,4
David Jones\jonesda01,Hockey,Right Wing,2008,23,9
David Koci\kocida01,Hockey,Defense,2007,25,5
David Krejci\krejcda01,Hockey,Center,2007,20,11
David Laliberte\lalibda01,Hockey,Right Wing,2010,23,1
David McIntyre\mcintda01,Hockey,Center,2012,24,1
David Musil\musilda01,Hockey,Defense,2015,21,1
David Pastrnak\pastrda01,Hockey,Right Wing,2015,18,3
David Perron\perroda01,Hockey,Left Wing,2008,19,10
David Rundblad\rundbda01,Hockey,Defense,2012,21,5
David Savard\savarda01,Hockey,Defense,2012,21,6
David Schlemko\schleda01,Hockey,Defense,2009,21,9
David Sloane\sloanda01,Hockey,Right Wing,2009,23,1
David Ullstrom\ullstda01,Hockey,Left Wing,2012,22,2
David Van Der Gulik\vandeda01,Hockey,Left Wing,2009,25,7
David Warsofsky\warsoda01,Hockey,Defense,2014,23,4
David Wolf\wolfda01,Hockey,Left Wing,2015,25,1
Davis Drewiske\drewida01,Hockey,Defense,2009,24,5
Dean Arsene\arsende01,Hockey,Defense,2010,29,1
Dean Kukan\kukande01,Hockey,Defense,2016,22,1
Denis Arkhipov\arkhide01,Hockey,Center,2007,27,1
Denis Gurianov\guriade01,Hockey,Right Wing,2017,19,1
Denis Malgin\malgide01,Hockey,Center,2017,20,1
Denis Tolpeko\tolpede01,Hockey,Center,2008,23,1
Dennis Everberg\everbde01,Hockey,Right Wing,2015,23,2
Dennis Rasmussen\rasmude01,Hockey,Center,2016,25,2
Derek Dorsett\dorsede01,Hockey,Right Wing,2009,22,9
Derek Forbort\forbode01,Hockey,Defense,2016,23,2
Derek Grant\grantde01,Hockey,Center,2013,22,5
Derek Joslin\joslide01,Hockey,Defense,2009,21,5
Derek Meech\meechde01,Hockey,Defense,2007,22,7
Derek Peltier\peltide01,Hockey,Defense,2009,23,2
Derek Ryan\ryande01,Hockey,Center,2016,29,2
Derek Smith\smithde05,Hockey,Defense,2010,25,5
Derek Stepan\stepade01,Hockey,Center,2011,20,7
Derek Whitmore\whitmde01,Hockey,Left Wing,2012,27,1
Derick Brassard\brassde01,Hockey,Center,2008,20,10
Deron Quint\quintde01,Hockey,Defense,2007,30,1
Derrick Pouliot\poulide01,Hockey,Defense,2015,21,3
Derrick Walser\walsede01,Hockey,Defense,2007,28,1
Deryk Engelland\engelde01,Hockey,Defense,2010,27,8
Devante Smith-Pelly\smithde06,Hockey,Right Wing,2012,19,6
Devin Setoguchi\setogde01,Hockey,Right Wing,2008,21,10
Devin Shore\shorede01,Hockey,Center,2016,21,2
Dillon Simpson\simpsdi01,Hockey,Defense,2017,24,1
Dmitrij Jaskin\jaskidm01,Hockey,Right Wing,2013,19,5
Dmitry Korobov\korobdm01,Hockey,Defense,2014,24,1
Dmitry Kulikov\kulikdm01,Hockey,Defense,2010,19,8
Dmitry Orlov\orlovdm01,Hockey,Defense,2012,20,6
Dominik Simon\simondo01,Hockey,Center,2016,21,2
Dominik Uher\uherdo01,Hockey,Center,2015,22,1
Doug Janik\janikdo01,Hockey,Defense,2007,26,6
Dougie Hamilton\hamildo01,Hockey,Defense,2013,19,5
Drake Caggiula\caggidr01,Hockey,Left Wing,2017,22,1
Drayson Bowman\bowmadr01,Hockey,Center,2010,20,6
Drew Bagnall\bagnadr01,Hockey,Defense,2011,27,1
Drew Doughty\doughdr01,Hockey,Defense,2009,19,9
Drew Fata\fatadr01,Hockey,Defense,2007,23,2
Drew Larman\larmadr01,Hockey,Center,2007,21,4
Drew LeBlanc\lebladr01,Hockey,Center,2013,23,1
Drew Miller\milledr01,Hockey,Left Wing,2008,23,10
Drew Shore\shoredr01,Hockey,Center,2013,22,5
Drew Stafford\staffdr01,Hockey,Right Wing,2007,21,11
Duncan Milroy\milrodu01,Hockey,Right Wing,2007,23,1
Duncan Siemens\siemedu01,Hockey,Defense,2015,21,3
Dustin Boyd\boyddu01,Hockey,Center,2007,20,5
Dustin Jeffrey\jeffrdu01,Hockey,Center,2009,20,8
Dustin Kohn\kohndu01,Hockey,Defense,2010,22,1
Dwight Helminen\helmidw01,Hockey,Center,2009,25,2
Dwight King\kingdw01,Hockey,Left Wing,2011,21,7
Dylan DeMelo\demeldy01,Hockey,Defense,2016,22,2
Dylan Larkin\larkidy01,Hockey,Center,2016,19,2
Dylan McIlrath\mcilrdy01,Hockey,Defense,2014,21,4
Dylan Olsen\olsendy01,Hockey,Defense,2012,21,5
Dylan Reese\reesedy01,Hockey,Defense,2010,25,6
Dylan Strome\stromdy01,Hockey,Center,2017,19,1
Elias Lindholm\lindhel01,Hockey,Center,2014,19,4
Emerson Etem\etemem01,Hockey,Left Wing,2013,20,5
Emile Poirier\poiriem01,Hockey,Left Wing,2015,20,2
Enver Lisin\lisinen01,Hockey,Right Wing,2007,20,4
Eriah Hayes\hayeser01,Hockey,Right Wing,2014,25,2
Eric Gelinas\geliner01,Hockey,Defense,2013,21,5
Eric Gryba\grybaer01,Hockey,Defense,2013,24,5
Eric Meloche\melocer01,Hockey,Right Wing,2007,30,1
Eric O'Dell\odeller01,Hockey,Center,2014,23,2
Steve Kelly\kellyst01,Hockey,Center,2008,31,1
Eric Selleck\selleer01,Hockey,Left Wing,2013,25,4
Eric Tangradi\tangrer01,Hockey,Left Wing,2010,20,7
Eric WelLeft Wingood\welLeft Winger01,Hockey,Left Wing,2011,20,3
Erik Burgdoerfer\burgder01,Hockey,Defense,2017,28,1
Erik Condra\condrer01,Hockey,Right Wing,2011,24,7
Erik Gudbranson\gudbrer01,Hockey,Defense,2012,20,6
Erik Gustafsson\gustaer01,Hockey,Defense,2011,22,4
Erik Gustafsson\gustaer02,Hockey,Defense,2016,23,1
Erik Haula\haulaer01,Hockey,Center,2014,22,4
Erik Johnson\johnser01,Hockey,Defense,2008,19,10
Erik Karlsson\karlser01,Hockey,Defense,2010,19,8
Esa Lindell\lindees01,Hockey,Defense,2016,21,2
Evan Brophey\brophev01,Hockey,Center,2011,24,2
Evan McEneny\mceneev01,Hockey,Defense,2017,22,1
Evan Oberg\obergev01,Hockey,Defense,2010,21,3
Evan Rodrigues\rodriev01,Hockey,Center,2016,22,2
Evander Kane\kaneev01,Hockey,Center,2010,18,8
Evgeni Dadonov\dadonev01,Hockey,Right Wing,2010,20,3
Evgeni Malkin\malkiev01,Hockey,Center,2007,20,11
Evgeny Grachev\grachev01,Hockey,Center,2011,20,2
Evgeny Kuznetsov\kuzneev01,Hockey,Center,2014,21,4
Evgeny Svechnikov\svechev01,Hockey,Right Wing,2017,20,1
Fabian Brunnstrom\brunnfa01,Hockey,Left Wing,2009,23,4
Filip Forsberg\forsbfi01,Hockey,Center,2013,18,5
Francis Wathier\wathifr01,Hockey,Left Wing,2010,25,4
Frank Corrado\corrafr01,Hockey,Defense,2013,19,5
Frank Vatrano\vatrafr01,Hockey,Center,2016,21,2
Frans Nielsen\nielsfr01,Hockey,Center,2007,22,11
Yannick Tremblay\trembya01,Hockey,Defense,2007,31,1
Frazer McLaren\mclarfr01,Hockey,Left Wing,2010,22,5
Freddie Hamilton\hamilfr01,Hockey,Center,2014,22,4
Frederick Gaudreau\gaudrfr01,Hockey,Center,2017,23,1
Frederik Gauthier\gauthfr01,Hockey,Center,2016,20,2
Fredrik Claesson\claesfr01,Hockey,Defense,2016,23,2
Frédéric St. Denis\stdenfr01,Hockey,Defense,2012,26,4
Gabe Gauthier\gauthga01,Hockey,Left Wing,2007,23,2
Gabriel Bourque\bourqga01,Hockey,Left Wing,2012,21,6
Gabriel Carlsson\carlsga01,Hockey,Defense,2017,20,1
Gabriel Dumont\dumonga01,Hockey,Center,2012,21,6
Gabriel Landeskog\landega01,Hockey,Left Wing,2012,19,6
Garnet Hathaway\hathaga01,Hockey,Right Wing,2016,24,2
Garrett Mitchell\mitchga01,Hockey,Right Wing,2017,25,1
Garrett Stafford\staffga01,Hockey,Defense,2008,28,4
Garrett Wilson\wilsoga01,Hockey,Left Wing,2014,22,3
Gemel Smith\smithge02,Hockey,Center,2017,22,1
Geoff Kinrade\kinrage01,Hockey,Defense,2009,23,1
Anders Eriksson\eriksan01,Hockey,Defense,2007,32,4
Grant Clitsome\clitsgr01,Hockey,Defense,2010,24,6
Grant Lewis\lewisgr01,Hockey,Defense,2009,24,1
Greg Mauldin\mauldgr01,Hockey,Center,2010,27,2
Greg McKegg\mckeggr01,Hockey,Center,2014,21,4
Greg Moore\mooregr01,Hockey,Right Wing,2008,23,3
Greg Nemisz\nemisgr01,Hockey,Center,2011,20,2
Greg Pateryn\patergr01,Hockey,Defense,2013,22,5
Greg Rallo\rallogr01,Hockey,Center,2012,30,2
Greg Stewart\stewagr01,Hockey,Left Wing,2008,21,3
Griffen Molino\molingr01,Hockey,Center,2017,23,1
Griffin Reinhart\reinhgr01,Hockey,Defense,2015,21,2
Guillaume Desbiens\desbigu01,Hockey,Defense,2010,24,3
Guillaume Latendresse\latengu01,Hockey,Right Wing,2007,19,7
Gustav Forsling\forslgu02,Hockey,Defense,2017,20,1
Gustav Nyquist\nyquigu01,Hockey,Center,2012,22,6
Gustav Olofsson\olofsgu01,Hockey,Defense,2016,21,2
Hampus Lindholm\lindhha01,Hockey,Defense,2014,20,4
Harri Pesonen\pesonha01,Hockey,Center,2013,24,1
Harry Zolnierczyk\zolniha01,Hockey,Left Wing,2012,24,6
Henrik Samuelsson\samuehe01,Hockey,Center,2015,20,1
Hudson Fasching\faschhu01,Hockey,Right Wing,2016,20,2
Hugh Jessiman\jessihu01,Hockey,Right Wing,2011,26,1
Hunter Shinkaruk\shinkhu01,Hockey,Center,2016,21,2
Ian Cole\coleia01,Hockey,Defense,2011,21,7
Ian McCoshen\mccosia01,Hockey,Defense,2017,21,1
Iiro Pakarinen\pakarii01,Hockey,Right Wing,2015,23,3
Ilkka Heikkinen\heikkil01,Hockey,Defense,2010,25,1
Ilkka Pikkarainen\pikkail01,Hockey,Right Wing,2010,28,1
Ilya Zubov\zubovil01,Hockey,Center,2008,20,2
Ivan Baranka\baraniv01,Hockey,Defense,2008,22,1
Ivan Barbashev\barbaiv01,Hockey,Center,2017,21,1
Ivan Provorov\provoiv01,Hockey,Defense,2017,20,1
Ivan Vishnevskiy\vishniv01,Hockey,Defense,2009,20,2
J.C. Lipon\liponj.01,Hockey,Right Wing,2016,22,1
J.T. Brown\brownjt01,Hockey,Left Wing,2012,21,6
J.T. Compher\comphj.01,Hockey,Left Wing,2017,21,1
J.T. Miller\millejt01,Hockey,Center,2013,19,5
J.T. Wyman\wymanja01,Hockey,Right Wing,2010,23,4
Jaccob Slavin\slavija01,Hockey,Defense,2016,21,2
Jack Eichel\eicheja01,Hockey,Center,2016,19,2
Jack Hillen\hilleja01,Hockey,Defense,2008,22,8
Jack Johnson\johnsja02,Hockey,Defense,2007,20,11
Jack Roslovic\rosloja01,Hockey,Center,2017,20,1
Jack Skille\skillja01,Hockey,Right Wing,2008,20,10
Jacob Josefson\josefja01,Hockey,Center,2011,19,7
Jacob Larsson\larssja01,Hockey,Defense,2017,19,1
Jacob Trouba\troubja01,Hockey,Defense,2014,19,4
Jacob de La Rose\delarja01,Hockey,Left Wing,2015,19,3
Jaden Schwartz\schwaja01,Hockey,Center,2012,19,6
Jaime Sifers\siferja01,Hockey,Defense,2009,26,2
Jake Dotchin\dotchja01,Hockey,Defense,2017,22,1
Jake Dowell\dowelja01,Hockey,Center,2008,22,7
Jake Gardiner\gardija01,Hockey,Defense,2012,21,6
Jake Guentzel\guentja01,Hockey,Center,2017,22,1
Jake McCabe\mccabja01,Hockey,Defense,2014,20,4
Jake Muzzin\muzzija01,Hockey,Defense,2011,21,7
Jake Virtanen\virtaja01,Hockey,Right Wing,2016,19,2
Jakob Chychrun\chychja01,Hockey,Defense,2017,18,1
Jakob Forsbacka Karlsson\forsbja01,Hockey,Center,2017,20,1
Jakob Silfverberg\silfvja01,Hockey,Right Wing,2013,22,5
Jakub Kindl\kindlja01,Hockey,Defense,2010,22,8
Jakub Nakladal\naklaja01,Hockey,Defense,2016,28,2
Jakub Petruzalek\petruja01,Hockey,Center,2009,23,1
Jakub Voracek\voracja01,Hockey,Right Wing,2009,19,9
Jakub Vrana\vranaja01,Hockey,Left Wing,2017,20,1
James Neal\nealja01,Hockey,Left Wing,2009,21,9
James Sheppard\sheppja01,Hockey,Center,2008,19,8
James Wright\wrighja02,Hockey,Center,2010,19,5
James van Riemsdyk\vanrija01,Hockey,Left Wing,2010,20,8
Jamie Arniel\arnieja01,Hockey,Center,2011,21,1
Jamie Benn\bennja01,Hockey,Center,2010,20,8
Jamie Devane\devanja01,Hockey,Left Wing,2014,22,1
Jamie Doornbosch\doornja01,Hockey,Defense,2011,20,1
Jamie Fraser\fraseja01,Hockey,Defense,2009,23,1
Jamie Fritsch\fritsja01,Hockey,Defense,2009,23,1
Jamie Hunt\huntja01,Hockey,Defense,2007,22,1
Jamie McBain\mcbaija02,Hockey,Defense,2010,21,8
Jamie McGinn\mcginja01,Hockey,Left Wing,2009,20,9
Jamie Oleksiak\oleksja01,Hockey,Defense,2013,20,5
Jamie Tardif\tardija01,Hockey,Right Wing,2013,28,1
Jan Hejda\hejdaja01,Hockey,Defense,2007,28,9
Jan Mursak\mursaja01,Hockey,Left Wing,2011,23,3
Janis Sprukts\sprukja01,Hockey,Center,2007,25,3
Janne Niskala\niskaja01,Hockey,Defense,2009,27,1
Janne Pesonen\pesonja01,Hockey,Left Wing,2009,26,1
Jannik Hansen\hanseja01,Hockey,Left Wing,2008,21,10
Jared Boll\bollja01,Hockey,Right Wing,2008,21,10
Jared Cowen\cowenja01,Hockey,Defense,2010,19,7
Jared McCann\mccanja01,Hockey,Center,2016,19,2
Jared Ross\rossja01,Hockey,Center,2009,26,2
Jared Spurgeon\spurgja01,Hockey,Defense,2011,21,7
Jared Staal\staalja01,Hockey,Right Wing,2013,22,1
Jarod Palmer\palmeja01,Hockey,Right Wing,2012,25,1
Glen Metropolit\metrogl01,Hockey,Center,2007,32,4
Jarred Tinordi\tinorja01,Hockey,Defense,2013,20,4
Jason Akeson\akesoja01,Hockey,Center,2013,22,3
Jason Demers\demerja01,Hockey,Defense,2010,21,8
Jason Dickinson\dickija01,Hockey,Center,2016,20,2
Jason Garrison\garrija01,Hockey,Defense,2009,24,9
Jason Jaffray\jaffrja01,Hockey,Right Wing,2008,26,5
Jason King\kingja01,Hockey,Right Wing,2008,26,1
Jason Zucker\zuckeja01,Hockey,Left Wing,2012,20,6
Jay Beagle\beaglja01,Hockey,Center,2009,23,9
Jay Rosehill\rosehja01,Hockey,Defense,2010,24,5
Jaycob Megna\megnaja02,Hockey,Defense,2017,24,1
Jayson Megna\megnaja01,Hockey,Center,2014,23,4
Jean-Gabriel Pageau\pageaje01,Hockey,Center,2013,20,5
Jean-Sebastien Dea\deaje01,Hockey,Center,2017,22,1
Jeff Finger\fingeje01,Hockey,Defense,2007,27,4
Jeff Penner\penneje01,Hockey,Defense,2010,22,1
Jeff Petry\petryje01,Hockey,Defense,2011,23,7
Jeff Schultz\schulje02,Hockey,Defense,2007,20,10
Jeff Skinner\skinnje01,Hockey,Left Wing,2011,18,7
Jeremy Morin\morinje01,Hockey,Left Wing,2011,19,5
Jeremy Reich\reichje01,Hockey,Center,2007,27,2
Jeremy Welsh\welshje01,Hockey,Center,2012,23,5
Jerome Samson\samsoje01,Hockey,Right Wing,2010,22,3
Jerry D'Amigo\damigje01,Hockey,Right Wing,2014,22,2
Jesper Fast\fastje01,Hockey,Right Wing,2014,22,4
Jesse Blacker\blackje01,Hockey,Defense,2015,23,1
Jesse Joensuu\joensje01,Hockey,Left Wing,2009,21,7
Jesse Puljujarvi\puljuje01,Hockey,Right Wing,2017,18,1
Jesse Schultz\schulje01,Hockey,Right Wing,2007,24,1
Jesse Winchester\winchje01,Hockey,Center,2008,24,7
Justin Johnson\johnsju01,Hockey,Right Wing,2014,32,1
Jim O'Brien\obrieji01,Hockey,Center,2011,22,6
Jimmy Hayes\hayesji01,Hockey,Right Wing,2012,22,6
Jimmy Vesey\veseyji02,Hockey,Left Wing,2017,23,1
Jiri Sekac\sekacji01,Hockey,Left Wing,2015,22,2
Jiri Tlusty\tlustji01,Hockey,Center,2008,19,9
Joakim Andersson\anderjo03,Hockey,Center,2012,22,5
Joakim Nordstrom\nordsjo02,Hockey,Center,2014,21,4
Joe Callahan\callajo02,Hockey,Defense,2009,26,3
Joe Colborne\colbojo01,Hockey,Center,2011,21,7
Joe Finley\finlejo01,Hockey,Defense,2012,24,2
Joe Jensen\jensejo01,Hockey,Center,2008,24,1
Joe Pavelski\paveljo01,Hockey,Center,2007,22,11
Joe Piskula\piskujo01,Hockey,Defense,2007,22,9
Joe Vitale\vitaljo01,Hockey,Center,2011,25,6
Joe Whitney\whitnjo01,Hockey,Right Wing,2014,25,2
Joel Armia\armiajo01,Hockey,Right Wing,2015,21,3
Joel Edmundson\edmunjo01,Hockey,Defense,2016,22,2
Joel Eriksson Ek\eriksjo02,Hockey,Left Wing,2017,20,1
Joel Hanley\hanlejo01,Hockey,Defense,2016,24,2
Joel Lundqvist\lundqjo01,Hockey,Center,2007,24,3
Joel Rechlicz\rechljo01,Hockey,Right Wing,2009,21,4
Joel Vermin\vermijo01,Hockey,Right Wing,2016,23,2
Joel Ward\wardjo02,Hockey,Right Wing,2007,26,11
Joey Crabb\crabbjo01,Hockey,Right Wing,2009,25,6
Joey Hishon\hishojo01,Hockey,Center,2015,23,1
Joey Mormina\mormijo01,Hockey,Defense,2008,25,1
Johan Harju\harjujo01,Hockey,Left Wing,2011,24,1
Johan Larsson\larssjo02,Hockey,Center,2013,20,5
Johan Motin\motinjo01,Hockey,Defense,2010,20,1
Johan Sundstrom\sundsjo01,Hockey,Center,2014,21,1
John Albert\alberjo01,Hockey,Center,2014,25,1
John Carlson\carlsjo01,Hockey,Defense,2010,20,8
John Hayden\haydejo01,Hockey,Left Wing,2017,21,1
John Klingberg\klingjo01,Hockey,Defense,2015,22,3
John McCarthy\mccarjo01,Hockey,Center,2010,23,7
John McFarland\mcfarjo01,Hockey,Left Wing,2016,23,1
John Mitchell\mitchjo01,Hockey,Center,2009,24,9
John Moore\moorejo01,Hockey,Defense,2011,20,7
John Negrin\negrijo01,Hockey,Defense,2009,19,1
John Persson\perssjo01,Hockey,Left Wing,2014,21,1
John Quenneville\quennjo02,Hockey,Center,2017,20,1
John Ramage\ramagjo01,Hockey,Defense,2015,23,2
John Scott\scottjo01,Hockey,Defense,2009,26,8
John Tavares\tavarjo01,Hockey,Center,2010,19,8
John Zeiler\zeilejo01,Hockey,Right Wing,2007,24,5
Johnny Boychuk\boychjo01,Hockey,Defense,2008,24,10
Johnny Gaudreau\gaudrjo01,Hockey,Left Wing,2014,20,4
Johnny Oduya\oduyajo01,Hockey,Defense,2007,25,11
Jon Kalinski\kalinjo01,Hockey,Center,2009,21,2
Jon Marchessault\audymjo01,Hockey,Center,2013,22,5
Jon Matsumoto\matsujo01,Hockey,Center,2011,24,2
Jon Rheault\rheaujo01,Hockey,Right Wing,2013,26,1
Jonas Andersson\anderjo02,Hockey,Right Wing,2011,29,1
Jonas Brodin\brodijo01,Hockey,Defense,2013,19,5
Jonas Frogren\frogrjo01,Hockey,Defense,2009,28,1
Jonas Holos\holosjo01,Hockey,Defense,2011,23,1
Jonas Junland\junlajo01,Hockey,Defense,2009,21,2
Jonas Nordqvist\nordqjo01,Hockey,Center,2007,24,1
Jonathan Drouin\drouijo01,Hockey,Left Wing,2015,19,3
Jonathan Ericsson\ericsjo01,Hockey,Defense,2008,23,10
Jonathan Filewich\filewjo01,Hockey,Right Wing,2008,23,1
Jonathan Huberdeau\huberjo01,Hockey,Center,2013,19,5
Jonathan Racine\racinjo01,Hockey,Defense,2014,20,1
Jonathan Sigalet\sigaljo02,Hockey,Defense,2007,20,1
Jonathan Toews\toewsjo01,Hockey,Center,2008,19,10
Jonathon Blum\blumjo02,Hockey,Defense,2011,22,5
Jonathon Merrill\merrijo01,Hockey,Defense,2014,21,4
Jonny Brodzinski\brodzjo01,Hockey,Center,2017,23,1
Joonas Donskoi\donskjo01,Hockey,Right Wing,2016,23,2
Joonas Kemppainen\kemppjo01,Hockey,Center,2016,27,1
Joonas Nattinen\nattijo01,Hockey,Center,2014,23,1
Joonas Rask\raskjo01,Hockey,Center,2013,22,1
Jordan Caron\caronjo01,Hockey,Right Wing,2011,20,6
Jordan Eberle\eberljo01,Hockey,Center,2011,20,7
Jordan Hendry\hendrjo02,Hockey,Defense,2008,23,6
Jordan Martinook\martijo01,Hockey,Center,2015,22,3
Jordan Nolan\nolanjo01,Hockey,Center,2012,22,6
Jordan Oesterle\oestejo01,Hockey,Defense,2015,22,3
Jordan Schmaltz\schmajo01,Hockey,Defense,2017,23,1
Jordan Schroeder\schrojo01,Hockey,Center,2013,22,5
Jordan Smotherman\lavaljo01,Hockey,Left Wing,2008,21,2
Jordan Staal\staaljo01,Hockey,Center,2007,18,11
Jordan Szwarz\szwarjo01,Hockey,Right Wing,2014,22,2
Jordan Weal\wealjo01,Hockey,Center,2016,23,2
Jordie Benn\bennjo01,Hockey,Defense,2012,24,6
Jori Lehtera\lehtejo01,Hockey,Center,2015,27,3
